Country Name,Latitude,Longitude,2011,2012,2015
Afghanistan,33.93911,67.709953,51.75690842,53.61804962,51.66994858
Albania,41.153332,20.168331,89.79815674,92.28983307,97.38848114
Algeria,28.033886,1.659626,99.61434937,,
American Samoa,-14.270972,-170.132217,,,
Andorra,42.546245,1.601554,,,
Angola,-11.202692,17.873887,26.48254013,,
Antigua and Barbuda,17.060816,-61.796428,110.9229431,109.5244293,108.2302322
Argentina,-38.416097,-63.616672,101.5350037,103.4764786,106.9464722
Armenia,40.069099,45.038189,93.13488007,,86.00588989
Aruba,12.52111,-69.968338,97.02787781,111.1597672,
Australia,-25.274398,133.775136,,,157.1676636
Austria,47.516231,14.550072,98.06147003,97.84332275,100.3209991
Azerbaijan,40.143105,47.576927,,,
"Bahamas, The",25.03428,-77.39628,84.98634338,85.76167297,
Bahrain,25.930414,50.637772,95.29779816,91.67199707,102.1602402
Bangladesh,23.684994,90.356331,52.43136978,55.20996857,65.62918854
Barbados,13.193887,-59.543198,103.6358871,,107.5281219
Belarus,53.709807,27.953389,107.3914185,107.2134399,105.4690018
Belgium,50.503887,4.469936,156.6331635,157.7947693,163.9347229
Belize,17.189877,-88.49765,75.951828,78.31773376,80.65795135
Benin,9.30769,2.315834,49.12759018,,58.8467598
Bermuda,32.321384,-64.75737,76.69093323,76.49401855,76.95237732
Bhutan,27.514162,90.433601,67.24878693,71.69738007,84.01727295
Bolivia,-16.290154,-63.588653,86.06030273,88.13147736,91.36424255
Bosnia and Herzegovina,43.915886,17.679076,,,
Botswana,-22.328474,24.684866,,,
Brazil,-14.235004,-51.92528,95.26338196,93.42028809,100.6081696
British Virgin Islands,18.420695,-64.639968,99.5341568,96.63865662,93.06703186
Brunei Darussalam,4.535277,114.727669,101.4305496,106.2648315,96.41471863
Bulgaria,42.733883,25.48583,93.75525665,94.69573212,102.2722702
Burkina Faso,12.238333,-1.561593,23.83592987,25.93309021,33.71873093
Burundi,-3.373056,29.918886,26.12249947,28.71599007,44.34693146
Cambodia,12.565679,104.990963,,,
Cameroon,7.369722,12.354722,48.31893158,51.58778,59.03208923
Canada,56.130366,-106.346771,103.3489609,109.9874878,110.3565292
Cape Verde,16.002082,-24.013197,89.97599792,93.03401184,94.72112274
Cayman Islands,19.513469,-80.566956,81.15000153,82.15973663,
Central African Republic,6.611111,20.939444,17.62453079,17.39388084,
Chad,15.454166,18.732207,23.06594086,22.3210907,22.41506004
Chile,-35.675147,-71.542969,90.46907806,89.50108337,101.7809296
China,35.86166,104.195397,,,
Colombia,4.570868,-74.297333,99.15142822,95.40425873,94.7192688
Comoros,-11.875001,43.872219,,,
"Congo, Dem. Rep.",-4.038333,21.758664,43.32061005,43.22605896,46.16579056
"Congo, Rep.",-0.228021,15.827659,,52.59281921,
Costa Rica,9.748917,-83.753428,103.8047028,107.4916992,122.7865829
Cote d'Ivoire,7.539989,-5.54708,,,42.45389175
Croatia,45.1,15.2,99.19125366,98.91718292,98.65386963
Cuba,21.521757,-77.781167,91.52572632,90.18881989,97.89115143
Cyprus,35.126413,33.429859,92.82562256,95.29985046,99.77831268
Czech Republic,49.817492,15.472962,95.79878998,96.79180908,105.0893021
Denmark,56.26392,9.501785,122.6990204,123.4057922,130.2518616
Djibouti,11.825138,42.590275,40.86059189,43.86172867,46.76042175
Dominica,15.414999,-61.370976,89.13699341,,94.25424194
Dominican Republic,18.735693,-70.162651,77.46867371,78.02393341,79.97901917
Ecuador,-1.831239,-78.183406,96.46614075,99.54315186,104.0310593
"Egypt, Arab Rep.",26.820553,30.802498,77.60144043,78.68850708,
El Salvador,13.794185,-88.89653,71.50865173,73.42411804,
Equatorial Guinea,1.650801,10.267895,,,
Eritrea,15.179384,39.782334,55.62369156,59.33432007,51.82041931
Estonia,58.595272,25.013607,107.3688278,107.8115692,111.0414276
Eswatini,-26.522503,31.465866,67.9101181,69.57962799,76.03504944
Ethiopia,9.145,40.489673,36.00415039,37.57714081,34.93946838
Faroe Islands,61.892635,-6.911806,,,
Fiji,-16.578193,179.414413,91.31902313,89.88188934,
Finland,61.92411,25.748151,108.0977707,108.2427597,150.0198669
France,46.227638,2.213749,106.6106415,105.8135834,103.3960419
French Polynesia,-17.679742,-149.406843,,,
Gabon,-0.803689,11.609444,,,
"Gambia, The",13.443182,-15.310139,,,
Georgia,42.315407,43.356892,,,99.35391235
Germany,51.165691,10.451526,103.7624207,102.1676102,98.82263947
Ghana,7.946527,-1.023194,55.57075882,56.44244003,67.90666962
Gibraltar,36.137741,-5.345374,,,
Greece,39.074208,21.824312,103.1835785,104.5624008,102.2004013
Greenland,71.706936,-42.604303,,,
Grenada,12.262776,-61.604171,,,111.7527008
Guam,13.444304,144.793731,,,
Guatemala,15.783471,-90.230759,52.81829834,53.12337112,54.1973381
Guinea,9.945587,-9.696645,37.60303116,37.80607986,
Guinea-Bissau,11.803749,-15.180413,,,
Guyana,4.860416,-58.93018,97.29608154,97.72779083,
Haiti,18.971187,-72.285215,,,
Honduras,15.199999,-86.241905,65.23800659,63.8839798,
"Hong Kong SAR, China",22.396428,114.109497,86.59143066,107.1294708,102.2444611
Hungary,47.162494,19.503304,96.79927063,98.06066132,103.0306168
Iceland,64.963051,-19.020835,106.6503067,110.00914,119.0788803
India,20.593684,78.96288,66.2507019,69.01283264,73.8656311
Indonesia,-0.789275,113.921327,79.11447906,80.45233154,86.12274933
"Iran, Islamic Rep.",32.427908,53.688046,82.99124908,84.9821167,85.86942291
Iraq,33.223191,43.679291,,,
Ireland,53.41291,-8.24389,115.8337326,117.7521896,116.9898682
Isle of Man,54.236107,-4.548056,,,
Israel,31.046051,34.851612,102.858223,102.2227936,103.6597519
Italy,41.87194,12.56738,103.3315735,102.0333405,102.2562714
Jamaica,18.109581,-77.297508,,,
Japan,36.204824,138.252924,,,
Jordan,30.585164,36.238414,77.60733795,74.18640137,
Kazakhstan,48.019573,66.923684,99.90897369,102.2144928,110.3012695
Kenya,-0.023559,37.906193,,,
Kiribati,-3.370417,-168.734039,,,
Kosovo,42.602636,20.902977,,,
Kuwait,29.31166,47.481766,97.0526123,96.44032288,97.82772064
Kyrgyz Republic,41.20438,74.766098,87.50063324,88.37130737,91.06977081
Lao PDR,19.85627,102.495496,45.77708817,49.03110123,63.42557144
Latvia,56.879635,24.603189,105.5657883,106.3448029,112.3566513
Lebanon,33.854721,35.862285,,,
Lesotho,-29.609988,28.233608,59.76092148,62.17588043,60.67609024
Liberia,6.428055,-9.429499,46.35525894,,37.9034996
Libya,26.3351,17.228331,,,
Liechtenstein,47.166,9.555373,111.4565735,110.3738632,116.1234436
Lithuania,55.169438,23.881275,106.0081635,106.1735077,107.6729279
Luxembourg,49.815273,6.129583,101.0224609,100.3607178,102.3193588
"Macao SAR, China",22.198745,113.543873,91.32930756,92.06546021,94.5390625
Madagascar,-18.766947,46.869107,36.74787903,38.11174011,38.51202011
Malawi,-13.254308,34.301525,35.08737183,35.31964111,40.77254105
Malaysia,4.210484,101.975766,77.47145844,81.47545624,84.9344635
Maldives,3.202778,73.22068,,,
Mali,17.570692,-3.996166,41.2325592,,41.72013855
Malta,35.937496,14.375416,93.30612183,94.04103088,94.90859222
Marshall Islands,7.131474,171.184478,,,66.36650848
Mauritania,21.00789,-10.940835,22.90337944,27.26383018,31.41934967
Mauritius,-20.348404,57.552152,90.9236908,92.9887085,97.36966705
Mexico,23.634501,-102.552784,88.19017792,90.66719818,100.8327408
"Micronesia, Fed. Sts.",7.425554,150.550812,,,
Moldova,47.411631,28.369885,,,105.0630798
Monaco,43.750298,7.412841,,,
Mongolia,46.862496,103.846656,,,
Montenegro,42.708678,19.37439,93.381073,93.13046265,92.6951828
Morocco,31.791702,-7.09262,66.51796722,69.74756622,
Mozambique,-18.665695,35.529562,25.9967308,25.50679016,33.56938934
Myanmar,21.913965,95.956223,,,
Namibia,-22.95764,18.49041,,,
Nauru,-0.522778,166.931503,,76.64234161,
Nepal,28.394857,84.124008,60.26435089,63.74879837,67.84368896
Netherlands,52.132633,5.291266,128.1791229,128.9924927,133.5458527
New Caledonia,-20.904305,165.618042,,,
New Zealand,-40.900557,174.885971,118.5048294,117.1061325,114.7460938
Nicaragua,12.865416,-85.207229,,,
Niger,17.607789,8.081666,13.88327026,15.05933952,20.09321976
Nigeria,9.081999,8.675277,45.55653,47.18077087,46.7820015
North Korea,40.339852,127.510093,,,92.27278137
North Macedonia,41.608635,21.745275,,82.39087677,81.89321899
Northern Mariana Islands,17.33083,145.38469,,,
Norway,60.472024,8.468946,112.1876068,110.5704269,114.6460419
Oman,21.512583,55.923255,99.5855484,100.0396729,103.2984238
Pakistan,30.375321,69.345116,33.76794052,34.9048996,39.60364914
Palau,7.51498,134.58252,,,
Panama,8.537981,-80.782127,70.87500763,,75.83184052
Papua New Guinea,-6.314993,143.95555,,38.66994858,
Paraguay,-23.442503,-58.443832,69.76886749,75.91104889,
Peru,-9.189967,-75.015152,93.89932251,93.17268372,97.59812927
Philippines,12.879721,121.774017,,,87.85105896
Poland,51.919438,19.145136,95.89885712,96.21340942,107.7431183
Portugal,39.399872,-8.224454,106.5855713,108.7158966,118.7691803
Puerto Rico,18.220833,-66.590149,81.22174835,83.77825928,
Qatar,25.354826,51.183884,,,
Romania,45.943161,24.96676,98.26016235,97.51628113,92.92756653
Russian Federation,61.52401,105.318756,91.82772827,95.60720062,102.1796188
Rwanda,-1.940278,29.873888,35.58721924,38.30797958,37.85200882
Samoa,-13.759029,-172.104629,87.5593338,88.42920685,94.03806305
San Marino,43.94236,12.457777,,,
Sao Tome and Principe,0.18636,6.613081,50.46498871,58.08409882,82.49925232
Saudi Arabia,23.885942,45.079162,,,116.4622726
Senegal,14.497401,-14.452362,41.41707993,45.33230972,50.93555069
Serbia,44.016521,21.005859,93.63105011,94.1696167,96.66960907
Seychelles,-4.679574,55.491977,72.37484741,81.30420685,81.44068909
Sierra Leone,8.460555,-11.779889,39.4930687,43.99802017,39.05757904
Singapore,1.352083,103.819836,,,
Slovak Republic,48.669026,19.699024,92.59889984,92.59600067,90.98053741
Slovenia,46.151241,14.995463,98.89344788,98.36042023,110.3240891
Solomon Islands,-9.64571,160.156194,47.75302124,48.31938171,
Somalia,5.152149,46.199616,,,
South Africa,-30.559482,22.937506,96.18245697,98.82685852,109.4440765
South Korea,35.907757,127.766922,96.8976593,97.80175781,100.0077972
South Sudan,6.876991,31.306978,9.688619614,,11.00998974
Spain,40.463667,-3.74922,120.9332504,122.837532,124.9606628
Sri Lanka,7.873054,80.771797,98.97299194,99.44696808,
Saint Kitts and Nevis,17.357822,-62.782998,104.7537766,89.02084351,107.8691025
Saint Lucia,13.909444,-60.978893,92.79428864,89.47303772,88.51898956
Saint Vincent and the Grenadines,12.984305,-61.287228,103.4264069,101.9272232,107.4255905
Sub-Saharan Africa,25.284266,14.438434,40.78369141,41.97927856,43.80548859
Sudan,12.862807,30.217636,37.55913162,41.23273849,45.62371063
Suriname,3.919305,-56.027783,70.33705139,72.07447052,77.46790314
Sweden,60.128161,18.643501,96.97975159,98.14225006,140.4367676
Switzerland,46.818188,8.227512,96.41895294,96.48052216,101.4737091
Syrian Arab Republic,34.802075,38.996815,74.51834106,77.87033081,
Tajikistan,38.861034,71.276093,85.60150909,87.0531311,
Tanzania,-6.369028,34.888822,,,27.14003944
Thailand,15.870032,100.992541,85.00759888,83.76145935,120.6511688
Timor-Leste,-8.874217,125.727539,65.56777954,66.79295349,72.38722992
Togo,8.619543,0.824782,55.76332092,,
Tonga,-21.178986,-175.198242,106.0837326,94.52684784,100.8617935
Trinidad and Tobago,10.691803,-61.222503,,,
Tunisia,33.886917,9.537499,91.82141113,,88.22575378
Turkiye,38.963745,35.243322,88.33830261,85.18469238,102.837738
Turkmenistan,38.969719,59.556278,,,
Turks and Caicos Islands,21.694025,-71.797928,,,72.51441193
Tuvalu,-7.109535,177.64933,,,82.84062195
Uganda,1.373333,32.290275,,,
Ukraine,48.379433,31.16558,93.50324249,96.44418335,
United Arab Emirates,23.424076,53.847818,,,
United Kingdom,55.378051,-3.435973,93.76583099,91.55275726,124.5240021
United States,37.09024,-95.712891,,,97.65254974
Uruguay,-32.522779,-55.765835,105.427803,107.6001282,112.1294785
Uzbekistan,41.377491,64.585262,90.2158432,92.0822525,91.84593964
Vanuatu,-15.376706,166.959158,,,54.20476913
Venezuela,6.42375,-66.58973,83.74642944,85.8901062,91.02732086
Vietnam,14.058324,108.277199,,,
Virgin Islands (U.S.),18.335765,-64.896335,,,
Yemen,15.552727,48.516388,46.16090012,46.91278076,
Zambia,-13.133897,27.849332,,,
Zimbabwe,-19.015438,29.154857,,51.55099106,
